Gene stable ID	Gene type
YBL020W	protein_coding
YER067C-A	protein_coding
YER090C-A	protein_coding
YGR129W	protein_coding
YKR060W	protein_coding
YNR061C	protein_coding
YJR141W	protein_coding
YBR148W	protein_coding
YBR164C	protein_coding
YGR140W	protein_coding
YOR305W	protein_coding
YGL126W	protein_coding
YGR088W	protein_coding
YBR112C	protein_coding
YCR047C	protein_coding
YCR067C	protein_coding
YHR187W	protein_coding
YHR005C	protein_coding
YCL050C	protein_coding
tK(CUU)M	tRNA
YDR333C	protein_coding
YKL045W	protein_coding
YIL122W	protein_coding
YNL176C	protein_coding
YBL019W	protein_coding
YKL043W	protein_coding
YPL110C	protein_coding
YDR527W	protein_coding
YGL172W	protein_coding
tV(UAC)B	tRNA
YER112W	protein_coding
YOR200W	protein_coding
YHR212C	protein_coding
YHR079C-A	protein_coding
YPR114W	protein_coding
YKR065C	protein_coding
YJR054W	protein_coding
YPL050C	protein_coding
YGL139W	protein_coding
YHR010W	protein_coding
tT(UGU)G1	tRNA
YBR088C	protein_coding
YML067C	protein_coding
YMR147W	protein_coding
YDR020C	protein_coding
YMR272W-B	protein_coding
YHL005C	protein_coding
YPR158W	protein_coding
YIR036C	protein_coding
YDR030C	protein_coding
YPL274W	protein_coding
YLR437C-A	protein_coding
YDL067C	protein_coding
YMR049C	protein_coding
YGL258W	protein_coding
YBR055C	protein_coding
YJL094C	protein_coding
YGR225W	protein_coding
YMR038C	protein_coding
YFR033C	protein_coding
YMR247W-A	protein_coding
YMR062C	protein_coding
YJL023C	protein_coding
YCL014W	protein_coding
YJL166W	protein_coding
YJL214W	protein_coding
YER097W	protein_coding
YNL274C	protein_coding
YJL126W	protein_coding
YOR205C	protein_coding
YNL164C	protein_coding
YER165C-A	protein_coding
YJR097W	protein_coding
YOR192C-C	protein_coding
YPR097W	protein_coding
YMR323W	protein_coding
tR(ACG)O	tRNA
YJR070C	protein_coding
YDL179W	protein_coding
YBR266C	protein_coding
YKR075C	protein_coding
YDL102W	protein_coding
YCL058C	protein_coding
YJL215C	protein_coding
YMR234W	protein_coding
YLR454W	protein_coding
YLR212C	protein_coding
YPL011C	protein_coding
YNL013C	protein_coding
YGL014C-A	protein_coding
YJL105W	protein_coding
YDR182W	protein_coding
YBL071W-A	protein_coding
YBR269C	protein_coding
YLR451W	protein_coding
YHR089C	protein_coding
YGR135W	protein_coding
YLR162W	protein_coding
YER041W	protein_coding
YDR006C	protein_coding
YCL017C	protein_coding
YLR076C	protein_coding
YGR070W	protein_coding
YDR010C	protein_coding
YOR136W	protein_coding
YER074W-A	protein_coding
tY(GUA)O	tRNA
YPR081C	protein_coding
YDR498C	protein_coding
YJR104C	protein_coding
YLR147C	protein_coding
YDL224C	protein_coding
YHR162W	protein_coding
YFR054C	protein_coding
YGR229C	protein_coding
YLR005W	protein_coding
YDR082W	protein_coding
YJL124C	protein_coding
YBL107W-A	protein_coding
YDR216W	protein_coding
YCR068W	protein_coding
YGR161W-C	protein_coding
YNL083W	protein_coding
YKL106W	protein_coding
YLR115W	protein_coding
YDR325W	protein_coding
ICR1	ncRNA
YHL050C	protein_coding
YGL249W	protein_coding
YJL053W	protein_coding
YDR372C	protein_coding
YGR173W	protein_coding
YAR042W	protein_coding
YPL273W	protein_coding
RDN5-6	rRNA
YDL222C	protein_coding
YIL087C	protein_coding
YNR027W	protein_coding
YCR095C	protein_coding
YER162C	protein_coding
YER090W	protein_coding
YGL215W	protein_coding
YBR016W	protein_coding
YFL025C	protein_coding
YLR208W	protein_coding
YHR030C	protein_coding
YDR395W	protein_coding
YMR282C	protein_coding
YMR056C	protein_coding
YPL203W	protein_coding
YIL041W	protein_coding
YDL210W	protein_coding
YLR149C	protein_coding
YGL005C	protein_coding
YDR132C	protein_coding
YOR161W-B	protein_coding
YBR015C	protein_coding
YER156C	protein_coding
YLL039C	protein_coding
YPL214C	protein_coding
YGL007W	protein_coding
YFR025C	protein_coding
YGL245W	protein_coding
YDR464W	protein_coding
YBR037C	protein_coding
YDR154C	protein_coding
YAL068C	protein_coding
YPR059C	protein_coding
YFL063W	protein_coding
YGL141W	protein_coding
YEL014C	protein_coding
YGL251C	protein_coding
YPR091C	protein_coding
YFL013W-A	protein_coding
YJL116C	protein_coding
YDR341C	protein_coding
YKL012W	protein_coding
YBL078C	protein_coding
YAR035C-A	protein_coding
YGR234W	protein_coding
YPR126C	protein_coding
YPL117C	protein_coding
YLR434C	protein_coding
YPL120W	protein_coding
YMR153W	protein_coding
YGR267C	protein_coding
YJR003C	protein_coding
YHR193C	protein_coding
YEL030C-A	protein_coding
YPL048W	protein_coding
YNL132W	protein_coding
YOL080C	protein_coding
YDR444W	protein_coding
YPL083C	protein_coding
YGR271C-A	protein_coding
YDR419W	protein_coding
YIR009W	protein_coding
snR189	snoRNA
YOR254C	protein_coding
YCL066W	protein_coding
YKR020W	protein_coding
YIL033C	protein_coding
YJL115W	protein_coding
YPR041W	protein_coding
YOR218C	protein_coding
YIR010W	protein_coding
YOR147W	protein_coding
YGL101W	protein_coding
YNL172W	protein_coding
YMR031W-A	protein_coding
YGL053W	protein_coding
YKL042W	protein_coding
YGR253C	protein_coding
YHR159W	protein_coding
YJL169W	protein_coding
YHR199C	protein_coding
YBR185C	protein_coding
YKL037W	protein_coding
YDR423C	protein_coding
tM(CAU)E	tRNA
YJL035C	protein_coding
YOL093W	protein_coding
YDR017C	protein_coding
YIL036W	protein_coding
YJR089W	protein_coding
YPL124W	protein_coding
YLR354C	protein_coding
YJL042W	protein_coding
YEL053W-A	protein_coding
YDR005C	protein_coding
YJR107W	protein_coding
YLR422W	protein_coding
YDR098C	protein_coding
YKR030W	protein_coding
YPL232W	protein_coding
YMR001C-A	protein_coding
YCR099C	protein_coding
tV(UAC)D	tRNA
YAL019W-A	protein_coding
YGL135W	protein_coding
YDR280W	protein_coding
YJL154C	protein_coding
YIL113W	protein_coding
YLR387C	protein_coding
YDR328C	protein_coding
YJL155C	protein_coding
YOR109W	protein_coding
YLR386W	protein_coding
YDR185C	protein_coding
YHR129C	protein_coding
YNR010W	protein_coding
YIR007W	protein_coding
YPR027C	protein_coding
YJL004C	protein_coding
YDL042C	protein_coding
YGL069C	protein_coding
YPL095C	protein_coding
YIR035C	protein_coding
YKL159C	protein_coding
YPR127W	protein_coding
YFR037C	protein_coding
YKL161C	protein_coding
YLR061W	protein_coding
YNL330C	protein_coding
YER079C-A	protein_coding
YHL011C	protein_coding
YIL114C	protein_coding
YPL243W	protein_coding
YDR541C	protein_coding
YBR277C	protein_coding
YOR108C-A	protein_coding
YNL016W	protein_coding
YEL009C	protein_coding
YNL316C	protein_coding
YNR003C	protein_coding
YLR380W	protein_coding
YMR013C-A	protein_coding
YNL113W	protein_coding
YKL079W	protein_coding
YDR056C	protein_coding
YDL240W	protein_coding
YJR102C	protein_coding
YKR095W-A	protein_coding
YPR138C	protein_coding
YOR225W	protein_coding
YGL108C	protein_coding
YGL221C	protein_coding
YDR183C-A	protein_coding
YCR050C	protein_coding
YOR028C	protein_coding
YOR169C	protein_coding
YBR186W	protein_coding
YOR080W	protein_coding
YBL006C	protein_coding
YOR235W	protein_coding
YER036C	protein_coding
YLR442C	protein_coding
YLR024C	protein_coding
YLR326W	protein_coding
YIL013C	protein_coding
YLR122C	protein_coding
YJR015W	protein_coding
YLR396C	protein_coding
YER084W-A	protein_coding
YHL046W-A	protein_coding
tQ(UUG)Q	tRNA
YLR042C	protein_coding
YEL056W	protein_coding
tK(CUU)G2	tRNA
YER140W	protein_coding
YNL298W	protein_coding
YPR055W	protein_coding
YOL126C	protein_coding
YPL206C	protein_coding
YIR006C	protein_coding
YGL205W	protein_coding
tP(UGG)N1	tRNA
tR(CCG)L	tRNA
YGR290W	protein_coding
YGR022C	protein_coding
YOL121C	protein_coding
YLR183C	protein_coding
YIL145C	protein_coding
YNL139C	protein_coding
YBR274W	protein_coding
YJL071W	protein_coding
YLL028W	protein_coding
YER091C-A	protein_coding
YGR189C	protein_coding
YHR152W	protein_coding
YPL283C	protein_coding
YJR118C	protein_coding
YLR130C	protein_coding
YDR184C	protein_coding
YPL268W	protein_coding
YGR185C	protein_coding
YOR016C	protein_coding
YHL019W-A	protein_coding
YHR039C	protein_coding
YPL021W	protein_coding
YNL047C	protein_coding
YDR122W	protein_coding
YGR169C-A	protein_coding
YBR235W	protein_coding
YHR114W	protein_coding
YLR306W	protein_coding
YDR054C	protein_coding
YOR138C	protein_coding
YLR351C	protein_coding
YKR077W	protein_coding
YMR032W	protein_coding
YMR228W	protein_coding
YLR242C	protein_coding
YJR123W	protein_coding
YOL068C	protein_coding
YNL282W	protein_coding
YMR146C	protein_coding
YCR084C	protein_coding
YLR428C	protein_coding
YNL096C	protein_coding
YMR251W-A	protein_coding
YBR046C	protein_coding
YER059W	protein_coding
YIR017W-A	protein_coding
YLR265C	protein_coding
YJL046W	protein_coding
YEL061C	protein_coding
YOR165W	protein_coding
YIL148W	protein_coding
YOR011W-A	protein_coding
YAL041W	protein_coding
YDR424C	protein_coding
YDR194C	protein_coding
YGR239C	protein_coding
YBR108W	protein_coding
YAL044W-A	protein_coding
YOL023W	protein_coding
YBR076C-A	protein_coding
YPL046C	protein_coding
YDR141C	protein_coding
YDR288W	protein_coding
YBR194W	protein_coding
YGR201C	protein_coding
tL(UAA)L	tRNA
YCR090C	protein_coding
YLR461W	protein_coding
YER190C-B	protein_coding
YOL108C	protein_coding
YJR148W	protein_coding
YJL123C	protein_coding
YHR218W	protein_coding
YMR247C	protein_coding
YOL086C	protein_coding
YNL287W	protein_coding
YLL064C	protein_coding
YCR013C	protein_coding
YMR152W	protein_coding
YEL051W	protein_coding
YNL095C	protein_coding
YHR021W-A	protein_coding
YOL028C	protein_coding
YMR267W	protein_coding
YJL065C	protein_coding
YLR154C	protein_coding
YFL001W	protein_coding
YMR230W	protein_coding
YCL073C	protein_coding
